Company,Position,Connected On
VisionNLP,Data Science Intern,16-Nov-21
,,16-Nov-21
Brane Enterprises pvt ltd,Data Scientist,16-Nov-21
Anchanto,Data Scientist,15-Nov-21
Accenture,Senior Analyst,14-Nov-21
Walmart,Senior Software Engineer,14-Nov-21
Internity Foundation,Web Developer,14-Nov-21
ITC Infotech,IT Specialist ,13-Nov-21
,,13-Nov-21
Industry 4.0 technology consulting private limited,Machine Learning Engineer,13-Nov-21
Greaves Cotton Limited,Assistant Manager - R&D,13-Nov-21
Bajaj Finserv,Data Scientist,12-Nov-21
Accion Labs,Sr. Consultant,12-Nov-21
True Elements,Data Scientist,11-Nov-21
Self-employed,IT Specialist ,11-Nov-21
ControlCase,Software Engineer,10-Nov-21
MedCords,Data Scientist,10-Nov-21
Nagarro,Software Engineer,10-Nov-21
Fourbrick Technology,Python Developer Intern,10-Nov-21
RI EQUATION LLP,Data Scientist,10-Nov-21
Shell,Software Engineer,10-Nov-21
"Showa Denko Materials (America), Inc.",Machine Learning Engineer,10-Nov-21
AlmaBetter,Data Scientist,10-Nov-21
,,10-Nov-21
TTK Prestige Ltd,Territory Sales Officer,10-Nov-21
Donaldson,Data Science Intern,10-Nov-21
Nagindas Khandwala College,,10-Nov-21
,,03-Nov-21
Rekrut,Talent Acquisition Specialist,03-Nov-21
